City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Chimoio,MZ,-19.1164,33.4833,58.84,93,13,3.04,few clouds
247,Sabalgarh,IN,26.25,77.4,83.08,58,99,0.87,overcast clouds
248,Sao Filipe,CV,14.8961,-24.4956,78.71,88,74,15.61,broken clouds
249,San Luis,AR,-33.295,-66.3356,70.65,14,40,9.01,scattered clouds
250,Tshane,BW,-24.0196,21.8684,66.9,37,0,16.51,clear sky
251,Clyde River,CA,70.4692,-68.5914,36.19,93,100,17.2,overcast clouds
252,Kungurtug,RU,50.5994,97.5228,51.03,45,1,3.2,clear sky
253,Butaritari,KI,3.0707,172.7902,81.72,72,100,14.7,overcast clouds
254,Weinan,CN,34.5036,109.5089,73.11,54,100,3.71,overcast clouds
255,Kavaratti,IN,10.5669,72.642,79.47,82,100,24.43,overcast clouds
256,East London,ZA,-33.0153,27.9116,63.0,87,21,10.8,few clouds
257,Ruy Barbosa,BR,-12.2839,-40.4939,70.97,71,73,9.93,broken clouds
258,Leh,IN,34.1667,77.5833,52.0,78,98,0.83,overcast clouds
259,Canguaretama,BR,-6.38,-35.1289,74.17,75,3,16.75,clear sky
260,Grindavik,IS,63.8424,-22.4338,52.27,93,75,2.3,broken clouds
261,Axim,GH,4.8699,-2.2405,74.43,92,1,6.6,clear sky
262,Beringovskiy,RU,63.05,179.3167,44.28,65,6,6.69,clear sky
263,Kyabram,AU,-36.3167,145.05,56.88,94,100,18.84,moderate rain
264,Kahului,US,20.8947,-156.47,89.62,65,20,25.32,few clouds
265,Masvingo,ZW,-20.0637,30.8277,56.8,88,0,7.16,clear sky
266,Kruisfontein,ZA,-34.0033,24.7314,54.54,83,0,4.68,clear sky
267,Yambio,SS,4.5721,28.3955,67.82,94,52,2.86,broken clouds
268,Silifke,TR,36.3778,33.9344,78.01,30,0,11.5,clear sky
269,Padang,ID,-0.9492,100.3543,76.69,76,100,4.81,overcast clouds
270,San Quintin,MX,30.4833,-115.95,82.83,63,5,11.48,clear sky
271,Katsuura,JP,35.1333,140.3,77.02,85,47,14.27,scattered clouds
272,Mragowo,PL,53.8644,21.3051,48.2,63,74,5.93,broken clouds
273,Cabra,ES,37.4725,-4.4421,70.79,37,73,1.83,broken clouds
274,Maceio,BR,-9.6658,-35.7353,74.64,73,20,4.61,few clouds
275,Arman,RU,59.7,150.1667,53.02,96,100,14.74,heavy intensity rain
276,Taoudenni,ML,22.6783,-3.9836,99.46,13,15,9.42,few clouds
277,Port Hardy,CA,50.6996,-127.4199,60.98,72,75,12.66,light intensity shower rain
278,Warangal,IN,18.0,79.5833,75.31,95,100,5.21,overcast clouds
279,Bloemfontein,ZA,-29.1211,26.214,45.88,61,0,0.0,clear sky
280,Thinadhoo,MV,0.5333,72.9333,83.25,65,100,17.76,overcast clouds
281,Laguna,US,38.421,-121.4238,110.34,15,0,10.36,clear sky
282,Ormara,PK,25.2088,64.6357,79.32,80,79,8.68,broken clouds
283,Puerto Baquerizo Moreno,EC,-0.9,-89.6,67.19,94,75,11.5,broken clouds
284,Kieta,PG,-6.2167,155.6333,81.34,79,31,5.17,scattered clouds
285,Xacmaz,AZ,41.4635,48.806,60.98,90,100,6.8,overcast clouds
286,Semirom,IR,31.4167,51.5667,62.94,51,12,1.83,few clouds
287,Umm Lajj,SA,25.0213,37.2685,85.46,52,0,9.06,clear sky
288,Kindu,CD,-2.95,25.95,71.65,92,88,1.01,overcast clouds
289,Manoel Urbano,BR,-8.8389,-69.2597,92.66,31,20,2.37,few clouds
290,Deputatskiy,RU,69.3,139.9,38.68,89,100,7.09,light rain
291,Sao Joao Do Piaui,BR,-8.3581,-42.2467,82.27,30,56,6.71,broken clouds
292,Tenamaxtlan,MX,20.2167,-104.1667,78.85,46,87,7.72,overcast clouds
293,Lufilufi,WS,-13.8745,-171.5986,89.38,72,57,20.38,broken clouds
294,Edd,ER,13.9297,41.6925,90.97,60,53,8.86,broken clouds
295,Sarrebourg,FR,48.7333,7.05,65.01,90,100,2.42,light rain
296,Tilichiki,RU,60.4667,166.1,49.66,66,71,6.22,broken clouds
297,Brawley,US,32.9787,-115.5303,102.45,35,20,10.36,few clouds
298,Deloraine,AU,-41.5333,146.6667,48.36,15,100,3.53,overcast clouds
299,Maloy,NO,61.9353,5.1136,55.13,67,59,8.72,broken clouds
300,Estelle,US,29.8458,-90.1067,90.0,60,75,4.61,broken clouds
301,Swift Current,CA,50.2834,-107.8014,97.61,11,0,25.32,haze
302,Kulhudhuffushi,MV,6.6221,73.07,80.67,80,100,17.94,overcast clouds
303,Kalmunai,LK,7.4167,81.8167,80.29,76,100,3.4,overcast clouds
304,Bingen,DE,48.1113,9.2724,62.33,89,100,4.05,overcast clouds
305,Calabozo,VE,8.9242,-67.4293,79.41,85,49,4.65,scattered clouds
306,Balaguer,ES,41.7912,0.8109,74.88,29,100,2.62,overcast clouds
307,Samarai,PG,-10.6167,150.6667,80.58,80,22,9.13,few clouds
308,Labuhan,ID,-6.8844,112.2051,76.82,88,60,7.45,broken clouds
309,Touros,BR,-5.1989,-35.4608,75.38,78,0,17.65,clear sky
310,Praia Da Vitoria,PT,38.7333,-27.0667,75.76,95,97,11.07,overcast clouds
311,Harper,LR,4.375,-7.7169,75.04,88,19,5.82,few clouds
312,Formiga,BR,-20.4644,-45.4264,68.07,37,0,6.04,clear sky
313,Skibbereen,IE,51.55,-9.2667,60.12,93,68,7.43,broken clouds
314,Narsaq,GL,60.9167,-46.05,48.42,85,33,2.8,scattered clouds
315,Burgeo,CA,47.6167,-57.6152,59.38,71,100,7.43,overcast clouds
316,Sisophon,KH,13.5859,102.9737,75.22,96,100,3.8,moderate rain
317,Boysun,UZ,38.2061,67.1986,70.81,17,0,6.64,clear sky
318,Gambela,ET,8.25,34.5833,70.03,94,100,3.04,overcast clouds
319,Salinopolis,BR,-0.6136,-47.3561,79.74,80,96,12.24,overcast clouds
320,Rosetown,CA,51.5501,-108.0014,93.65,14,31,17.83,scattered clouds
321,Walvis Bay,NA,-22.9575,14.5053,56.08,94,0,3.44,clear sky
322,Port Lincoln,AU,-34.7333,135.8667,52.56,91,78,16.69,broken clouds
323,Tombouctou,ML,20.0,-3.0,98.15,22,0,7.92,clear sky
324,Torbay,CA,47.6666,-52.7314,54.37,78,75,9.22,broken clouds
325,North Myrtle Beach,US,33.816,-78.68,83.28,83,100,9.22,overcast clouds
326,Dingle,PH,10.9995,122.6711,75.85,93,61,4.56,broken clouds
327,Cidreira,BR,-30.1811,-50.2056,61.39,89,26,13.42,scattered clouds
328,Bassila,BJ,9.0081,1.6654,72.36,93,100,1.19,overcast clouds
329,Sungaipenuh,ID,-2.0833,101.3833,62.24,86,100,1.7,overcast clouds
330,Nandyal,IN,15.4833,78.4833,76.1,87,100,3.71,heavy intensity rain
331,San Cristobal,VE,7.7669,-72.225,82.58,68,40,5.7,scattered clouds
332,Kodinsk,RU,58.6881,99.1844,50.65,97,100,8.57,overcast clouds
333,Guayaramerin,BO,-10.8368,-65.3614,92.59,28,10,2.59,clear sky
334,Vanimo,PG,-2.6741,141.3028,79.63,80,89,3.69,overcast clouds
335,Varadero,CU,23.1536,-81.2514,86.76,68,11,8.63,few clouds
336,Lokosovo,RU,61.1333,74.8167,42.62,91,100,16.11,overcast clouds
337,Athabasca,CA,54.7169,-113.2854,61.21,79,100,5.3,overcast clouds
338,Sidi Bin Nur,TN,35.5333,10.9167,85.91,56,46,10.54,scattered clouds
339,Kaitangata,NZ,-46.2817,169.8464,45.93,78,98,1.23,overcast clouds
340,Kununurra,AU,-15.7667,128.7333,67.98,88,2,0.0,clear sky
341,Chapais,CA,49.7834,-74.8492,71.38,54,100,3.47,overcast clouds
342,Mogadishu,SO,2.0371,45.3438,75.45,85,17,16.08,few clouds
343,Ulaangom,MN,49.9811,92.0667,63.16,24,59,4.52,broken clouds
